,start station id,start station latitude,start station longitude,end station latitude,end station longitude,gender,borough,ageintervals,tripdurationintervals,timeminutes,degrees
67,320,40.717571,-74.005549,40.71748752,-74.0104554,1,Manhattan,20.0,1.0,1.0,34.0
68,152,40.71473993,-74.00910627,40.70717936,-74.00887308,1,Manhattan,13.0,3.0,1.0,22.0
69,346,40.73652889,-74.00618026,40.71450451,-74.00562789,1,Manhattan,16.0,6.0,1.0,22.0
70,345,40.73649403,-73.99704374,40.73401143,-74.00293877,1,Manhattan,13.0,2.0,1.0,31.0
71,387,40.71273266,-74.0046073,40.69991755,-73.98971773,1,Manhattan,18.0,7.0,1.0,16.0
72,387,40.71273266,-74.0046073,40.69991755,-73.98971773,1,Manhattan,18.0,7.0,1.0,16.0
73,300,40.728145,-73.990214,40.73912601,-73.97973776,1,Manhattan,22.0,12.0,1.0,5.0
74,368,40.73038599,-74.00214988,40.72873888,-74.00748842,1,Manhattan,16.0,1.0,1.0,32.0
75,368,40.73038599,-74.00214988,40.72779126,-73.98564945,1,Manhattan,14.0,3.0,1.0,12.0
76,459,40.746745000000004,-74.007756,40.75645824,-73.99372222,1,Manhattan,31.0,5.0,1.0,7.0
77,444,40.742354299999995,-73.98915076,40.74144387,-73.97536082,1,Manhattan,16.0,3.0,1.0,12.0
78,440,40.75255434,-73.97282625,40.72779126,-73.98564945,1,Manhattan,15.0,8.0,1.0,26.0
79,320,40.717571,-74.005549,40.74691959,-74.00451887,1,Manhattan,16.0,12.0,1.0,1.0
80,445,40.72740794,-73.98142006,40.74147286,-73.98320928,1,Manhattan,15.0,5.0,1.0,44.0
81,521,40.75044999,-73.99481051,40.75466591,-73.99138152,1,Manhattan,19.0,1.0,1.0,5.0
82,414,40.70281858,-73.98765762,40.68415748,-73.96922273,2,Brooklyn,20.0,8.0,1.0,17.0
83,391,40.69760127,-73.99344559,40.69089272,-73.99612349,2,Brooklyn,25.0,3.0,1.0,25.0
84,151,40.7218158,-73.99720307,40.71602118,-73.99974372,1,Manhattan,14.0,2.0,1.0,25.0
85,492,40.75019995,-73.99093085,40.74780373,-73.97344190000003,1,Manhattan,27.0,6.0,2.0,12.0
86,539,40.71534825,-73.96024116,40.69196035,-73.96536851,1,Brooklyn,16.0,6.0,2.0,24.0
87,326,40.72953837,-73.98426726,40.720873600000004,-73.98085795,1,Manhattan,20.0,2.0,2.0,20.0
88,497,40.73704984,-73.99009296,40.72740794,-73.98142006,1,Manhattan,19.0,3.0,2.0,17.0
89,368,40.73038599,-74.00214988,40.73524276,-73.98758561,1,Manhattan,27.0,3.0,2.0,9.0
90,296,40.71413089,-73.99704679999998,40.73726186,-73.99238967,1,Manhattan,21.0,6.0,2.0,1.0
91,291,40.713126,-73.984844,40.71173107,-73.99193043,1,Manhattan,15.0,1.0,2.0,32.0
92,473,40.72110063,-73.99192540000001,40.71406667,-73.99293911,1,Manhattan,13.0,3.0,2.0,24.0
93,396,40.680342423,-73.9557689392,40.68317813,-73.9659641,2,Brooklyn,15.0,2.0,2.0,36.0
94,2002,40.716887,-73.96319799999998,40.69573398,-73.97129668,1,Brooklyn,20.0,8.0,2.0,25.0
95,473,40.72110063,-73.99192540000001,40.71406667,-73.99293911,1,Manhattan,13.0,3.0,2.0,24.0
96,482,40.73935542,-73.99931783,40.73935542,-73.99931783,1,Manhattan,38.0,14.0,2.0,34.0
97,497,40.73704984,-73.99009296,40.71911552,-74.00666661,2,Manhattan,14.0,4.0,2.0,28.0
98,499,40.76915505,-73.98191841,40.76915505,-73.98191841,1,Manhattan,21.0,1.0,2.0,34.0
99,519,40.752416,-73.97837,40.76228826,-73.98336183,1,Manhattan,16.0,3.0,2.0,42.0
100,352,40.76340613,-73.97722479,40.75968085,-73.97031366,1,Manhattan,15.0,8.0,2.0,15.0
101,368,40.73038599,-74.00214988,40.71406667,-73.99293911,1,Manhattan,14.0,6.0,2.0,19.0
102,539,40.71534825,-73.96024116,40.69178232,-73.97372989,2,Brooklyn,14.0,10.0,2.0,26.0
103,72,40.76727216,-73.99392888,40.7454973,-74.00197139,1,Manhattan,14.0,5.0,2.0,25.0
104,519,40.752416,-73.97837,40.72679454,-73.99695094,1,Manhattan,16.0,10.0,2.0,27.0
105,507,40.73912601,-73.97973776,40.74290902,-73.97706058,1,Manhattan,13.0,3.0,2.0,4.0
106,461,40.73587678,-73.98205027,40.74444921,-73.98303529,1,Manhattan,14.0,3.0,2.0,44.0
107,161,40.72917025,-73.99810231,40.73492695,-73.99200509,1,Manhattan,14.0,4.0,2.0,6.0
108,426,40.71754834,-74.01322069,40.74691959,-74.00451887,1,Manhattan,20.0,7.0,2.0,2.0
